Sales by Customer by YearQuarter,Low,High
10742.66,"$5,000","$25,000"
30.01,$1,"$1,000"
621.37,$1,"$1,000"
819.92,$1,"$1,000"
1622.78,"$1,000","$2,000"
45.85,$1,"$1,000"
34489.51,"$25,000","$100,000"
6037.94,"$5,000","$25,000"
8497.8,"$5,000","$25,000"
2732.36,"$2,000","$5,000"
37.55,$1,"$1,000"
44.75,$1,"$1,000"
26.51,$1,"$1,000"
424.04,$1,"$1,000"
14853.16,"$5,000","$25,000"
701.28,$1,"$1,000"
4213.15,"$2,000","$5,000"
196341.75,"$100,000","$250,000"
99.91,$1,"$1,000"
508.56,$1,"$1,000"
1002.55,"$1,000","$2,000"
15538.1,"$5,000","$25,000"
775.43,$1,"$1,000"
12675.93,"$5,000","$25,000"
34.71,$1,"$1,000"
37102.6,"$25,000","$100,000"
9820.24,"$5,000","$25,000"
7003.58,"$5,000","$25,000"
22638.11,"$5,000","$25,000"
4402.99,"$2,000","$5,000"
286.44,$1,"$1,000"
1712.52,"$1,000","$2,000"
519.29,$1,"$1,000"
2380.76,"$2,000","$5,000"
89.58,$1,"$1,000"
208.07,$1,"$1,000"
479.74,$1,"$1,000"
2.65,$1,"$1,000"
6543.42,"$5,000","$25,000"
27069.62,"$25,000","$100,000"
1489.31,"$1,000","$2,000"
1108.98,"$1,000","$2,000"
372.8,$1,"$1,000"
42757.51,"$25,000","$100,000"
1166.86,"$1,000","$2,000"
10306.65,"$5,000","$25,000"
14483.3,"$5,000","$25,000"
7227.69,"$5,000","$25,000"
27.66,$1,"$1,000"
369.29,$1,"$1,000"
4653.84,"$2,000","$5,000"
55.32,$1,"$1,000"
1292.58,"$1,000","$2,000"
64807.67,"$25,000","$100,000"
2006.58,"$2,000","$5,000"
705.08,$1,"$1,000"
106.36,$1,"$1,000"
104.68,$1,"$1,000"
101.54,$1,"$1,000"
2030.07,"$2,000","$5,000"
79.48,$1,"$1,000"
6231.49,"$5,000","$25,000"
96075.31,"$25,000","$100,000"
16808.24,"$5,000","$25,000"
1090.27,"$1,000","$2,000"
227.13,$1,"$1,000"
422.86,$1,"$1,000"
473.17,$1,"$1,000"
128.13,$1,"$1,000"
1203.69,"$1,000","$2,000"
778.09,$1,"$1,000"
11.88,$1,"$1,000"
29210.59,"$25,000","$100,000"
2639.45,"$2,000","$5,000"
5887.33,"$5,000","$25,000"
7.92,$1,"$1,000"
696.31,$1,"$1,000"
474.05,$1,"$1,000"
14.22,$1,"$1,000"
98452.17,"$25,000","$100,000"
4827.56,"$2,000","$5,000"
717.93,$1,"$1,000"
110.2,$1,"$1,000"
6.91,$1,"$1,000"
64.69,$1,"$1,000"
1352.59,"$1,000","$2,000"
316.83,$1,"$1,000"
80.92,$1,"$1,000"
268.54,$1,"$1,000"
1513.97,"$1,000","$2,000"
141238.81,"$100,000","$250,000"
82744.16,"$25,000","$100,000"
91712.23,"$25,000","$100,000"
10394.65,"$5,000","$25,000"
59328.2,"$25,000","$100,000"
141333.51,"$100,000","$250,000"
1561871.14,"$1,000,000","$9,999,999"
233.82,$1,"$1,000"
34166.45,"$25,000","$100,000"
409805.41,"$250,000","$500,000"
31158.67,"$25,000","$100,000"
710831.13,"$500,000","$1,000,000"
126000.75,"$100,000","$250,000"
124356.98,"$100,000","$250,000"
10463.42,"$5,000","$25,000"
415591.74,"$250,000","$500,000"
104709.38,"$100,000","$250,000"
255.55,$1,"$1,000"
178418.99,"$100,000","$250,000"
87654.76,"$25,000","$100,000"
128485.12,"$100,000","$250,000"
5886.08,"$5,000","$25,000"
3883.76,"$2,000","$5,000"
53027.2,"$25,000","$100,000"
365.51,$1,"$1,000"
671618.54,"$500,000","$1,000,000"
8941.51,"$5,000","$25,000"
20589.63,"$5,000","$25,000"
84026.56,"$25,000","$100,000"
1145.58,"$1,000","$2,000"
15412.59,"$5,000","$25,000"
16891.25,"$5,000","$25,000"
121874.52,"$100,000","$250,000"
13621.12,"$5,000","$25,000"
99755.09,"$25,000","$100,000"
113782.76,"$100,000","$250,000"
594437.51,"$500,000","$1,000,000"
111007.85,"$100,000","$250,000"
719284,"$500,000","$1,000,000"
7327.73,"$5,000","$25,000"
4218.2,"$2,000","$5,000"
2015.29,"$2,000","$5,000"
1396.77,"$1,000","$2,000"
12316,"$5,000","$25,000"
192582.56,"$100,000","$250,000"
22264.04,"$5,000","$25,000"
34098.47,"$25,000","$100,000"
260.51,$1,"$1,000"
15529.65,"$5,000","$25,000"
47682.31,"$25,000","$100,000"
94293.06,"$25,000","$100,000"
25861.34,"$25,000","$100,000"
4045.3,"$2,000","$5,000"
19376.71,"$5,000","$25,000"
130785.51,"$100,000","$250,000"
65069.76,"$25,000","$100,000"
27023.66,"$25,000","$100,000"
111372.72,"$100,000","$250,000"
12181.56,"$5,000","$25,000"
4594.46,"$2,000","$5,000"
118661.68,"$100,000","$250,000"
121760.72,"$100,000","$250,000"
116894.37,"$100,000","$250,000"
6154.23,"$5,000","$25,000"
7149.26,"$5,000","$25,000"
256498.39,"$250,000","$500,000"
367693.33,"$250,000","$500,000"
13493.48,"$5,000","$25,000"
4153.13,"$2,000","$5,000"
19831.85,"$5,000","$25,000"
51324.51,"$25,000","$100,000"
26845.51,"$25,000","$100,000"
221830.56,"$100,000","$250,000"
19002.78,"$5,000","$25,000"
14629.88,"$5,000","$25,000"
27428.9,"$25,000","$100,000"
2165.76,"$2,000","$5,000"
5213.29,"$5,000","$25,000"
33776.36,"$25,000","$100,000"
15999.36,"$5,000","$25,000"
116682.44,"$100,000","$250,000"
2255.13,"$2,000","$5,000"
26437.14,"$25,000","$100,000"
5250.37,"$5,000","$25,000"
10193.93,"$5,000","$25,000"
31282.02,"$25,000","$100,000"
14496.3,"$5,000","$25,000"
4579.88,"$2,000","$5,000"
38481.78,"$25,000","$100,000"
59274.39,"$25,000","$100,000"
2229.49,"$2,000","$5,000"
61581.58,"$25,000","$100,000"
56188.55,"$25,000","$100,000"
31500.02,"$25,000","$100,000"
42679.36,"$25,000","$100,000"
37892.91,"$25,000","$100,000"
159.54,$1,"$1,000"
2592617.73,"$1,000,000","$9,999,999"
1076574.22,"$1,000,000","$9,999,999"
20488.52,"$5,000","$25,000"
1071.81,"$1,000","$2,000"
62847.92,"$25,000","$100,000"
47290.12,"$25,000","$100,000"
5200.94,"$5,000","$25,000"
30158.83,"$25,000","$100,000"
22134.4,"$5,000","$25,000"
55190.63,"$25,000","$100,000"
101944.94,"$100,000","$250,000"
2196.72,"$2,000","$5,000"
11518.86,"$5,000","$25,000"
7613.51,"$5,000","$25,000"
17426.1,"$5,000","$25,000"
16138.56,"$5,000","$25,000"
53008.13,"$25,000","$100,000"
67843.76,"$25,000","$100,000"
2424.43,"$2,000","$5,000"
67642.2,"$25,000","$100,000"
369612.26,"$250,000","$500,000"
15465.66,"$5,000","$25,000"
17405.25,"$5,000","$25,000"
36566.55,"$25,000","$100,000"
2653.19,"$2,000","$5,000"
76365.34,"$25,000","$100,000"
77518.25,"$25,000","$100,000"
10352.81,"$5,000","$25,000"
8246.87,"$5,000","$25,000"
13263.32,"$5,000","$25,000"
294433.14,"$250,000","$500,000"
464177.78,"$250,000","$500,000"
2816.12,"$2,000","$5,000"
34647.14,"$25,000","$100,000"
-9618.74,"($99,000)",$1
1723.09,"$1,000","$2,000"
3779.42,"$2,000","$5,000"
5283.97,"$5,000","$25,000"
9236.83,"$5,000","$25,000"
10243.55,"$5,000","$25,000"
36474.73,"$25,000","$100,000"
3048.86,"$2,000","$5,000"
7523.09,"$5,000","$25,000"
7141.3,"$5,000","$25,000"
37577.54,"$25,000","$100,000"
34067.8,"$25,000","$100,000"
36508.2,"$25,000","$100,000"
57891.07,"$25,000","$100,000"
5687.68,"$5,000","$25,000"
7780.17,"$5,000","$25,000"
55288.97,"$25,000","$100,000"
17201.3,"$5,000","$25,000"
8399.2,"$5,000","$25,000"
482114.62,"$250,000","$500,000"
11451.52,"$5,000","$25,000"
605.89,$1,"$1,000"
2037.96,"$2,000","$5,000"
207073.5,"$100,000","$250,000"
1776.74,"$1,000","$2,000"
40578.22,"$25,000","$100,000"
3632.86,"$2,000","$5,000"
27789.07,"$25,000","$100,000"
7809.04,"$5,000","$25,000"
603.62,$1,"$1,000"
893.57,$1,"$1,000"
13305.51,"$5,000","$25,000"
8834.95,"$5,000","$25,000"
8390.59,"$5,000","$25,000"
56681.3,"$25,000","$100,000"
41513.12,"$25,000","$100,000"
33627.22,"$25,000","$100,000"
3708.48,"$2,000","$5,000"
971.11,$1,"$1,000"
10267.13,"$5,000","$25,000"
9208.57,"$5,000","$25,000"
9969.6,"$5,000","$25,000"
45425.9,"$25,000","$100,000"
4716.08,"$2,000","$5,000"
1850.81,"$1,000","$2,000"
23193.6,"$5,000","$25,000"
27076.54,"$25,000","$100,000"
418.26,$1,"$1,000"
2766.92,"$2,000","$5,000"
1589.78,"$1,000","$2,000"
681590.87,"$500,000","$1,000,000"
6664.64,"$5,000","$25,000"
7699.51,"$5,000","$25,000"
437.59,$1,"$1,000"
38405.37,"$25,000","$100,000"
40186.06,"$25,000","$100,000"
137.74,$1,"$1,000"
26362.93,"$25,000","$100,000"
5234.31,"$5,000","$25,000"
11570.81,"$5,000","$25,000"
13471.99,"$5,000","$25,000"
222.81,$1,"$1,000"
645.8,$1,"$1,000"
7517.33,"$5,000","$25,000"
903.66,$1,"$1,000"
1999.8,"$1,000","$2,000"
38946.29,"$25,000","$100,000"
10089.55,"$5,000","$25,000"
3508.86,"$2,000","$5,000"
218.5,$1,"$1,000"
479.49,$1,"$1,000"
243.72,$1,"$1,000"
1573.7,"$1,000","$2,000"
67.98,$1,"$1,000"
464.58,$1,"$1,000"
26609.08,"$25,000","$100,000"
103816.1,"$100,000","$250,000"
16481.31,"$5,000","$25,000"
617190.33,"$500,000","$1,000,000"
233.62,$1,"$1,000"
68,$1,"$1,000"
20205.02,"$5,000","$25,000"
217.23,$1,"$1,000"
1353.91,"$1,000","$2,000"
5312.66,"$5,000","$25,000"
4647.64,"$2,000","$5,000"
84304.6,"$25,000","$100,000"
2504.58,"$2,000","$5,000"
1294080,"$1,000,000","$9,999,999"
1501.92,"$1,000","$2,000"
27652.04,"$25,000","$100,000"
32977.72,"$25,000","$100,000"
8787.12,"$5,000","$25,000"
6575.76,"$5,000","$25,000"
204468.51,"$100,000","$250,000"
73691.36,"$25,000","$100,000"
9572.35,"$5,000","$25,000"
1150.78,"$1,000","$2,000"
529.95,$1,"$1,000"
3303.85,"$2,000","$5,000"
6235,"$5,000","$25,000"
4550.83,"$2,000","$5,000"
404.4,$1,"$1,000"
10523.22,"$5,000","$25,000"
94567.16,"$25,000","$100,000"
34275.31,"$25,000","$100,000"
655.16,$1,"$1,000"
61490.01,"$25,000","$100,000"
5620.34,"$5,000","$25,000"
425.04,$1,"$1,000"
8415.3,"$5,000","$25,000"
234.05,$1,"$1,000"
1981.48,"$1,000","$2,000"
3187.49,"$2,000","$5,000"
5894.92,"$5,000","$25,000"
264.04,$1,"$1,000"
206.82,$1,"$1,000"
36796.91,"$25,000","$100,000"
-842.52,"($99,000)",$1
3039.66,"$2,000","$5,000"
846.19,$1,"$1,000"
3127.59,"$2,000","$5,000"
2132.75,"$2,000","$5,000"
998.97,$1,"$1,000"
1212.93,"$1,000","$2,000"
3341.01,"$2,000","$5,000"
21683.6,"$5,000","$25,000"
988.56,$1,"$1,000"
132.09,$1,"$1,000"
7479.37,"$5,000","$25,000"
100,$1,"$1,000"
49789.89,"$25,000","$100,000"
6020.82,"$5,000","$25,000"
4579.44,"$2,000","$5,000"
83.57,$1,"$1,000"
73078.58,"$25,000","$100,000"
41136.31,"$25,000","$100,000"
12115.32,"$5,000","$25,000"
659.13,$1,"$1,000"
6958.8,"$5,000","$25,000"
822.4,$1,"$1,000"
-341.85,"($99,000)",$1
168.45,$1,"$1,000"
120.31,$1,"$1,000"
4710.75,"$2,000","$5,000"
1111.93,"$1,000","$2,000"
605.98,$1,"$1,000"
325.57,$1,"$1,000"
314.36,$1,"$1,000"
1519.62,"$1,000","$2,000"
3.19,$1,"$1,000"
306.03,$1,"$1,000"
515.31,$1,"$1,000"
11327.95,"$5,000","$25,000"
17.07,$1,"$1,000"
122.44,$1,"$1,000"
85.14,$1,"$1,000"
213.05,$1,"$1,000"
31.92,$1,"$1,000"
1685.96,"$1,000","$2,000"
28042.27,"$25,000","$100,000"
19275.5,"$5,000","$25,000"
341.14,$1,"$1,000"
7.56,$1,"$1,000"
3640.26,"$2,000","$5,000"
41349.63,"$25,000","$100,000"
6336,"$5,000","$25,000"
42757.51,"$25,000","$100,000"
66.42,$1,"$1,000"
2283.9,"$2,000","$5,000"
250075.04,"$250,000","$500,000"
8541.92,"$5,000","$25,000"
812042.76,"$500,000","$1,000,000"
30267.13,"$25,000","$100,000"
280566.39,"$250,000","$500,000"
89985.06,"$25,000","$100,000"
4300.56,"$2,000","$5,000"
86362.31,"$25,000","$100,000"
57512.67,"$25,000","$100,000"
65822.45,"$25,000","$100,000"
4305.47,"$2,000","$5,000"
31951.82,"$25,000","$100,000"
274648.06,"$250,000","$500,000"
257926.26,"$250,000","$500,000"
18720.54,"$5,000","$25,000"
6953.38,"$5,000","$25,000"
2991.09,"$2,000","$5,000"
65151.06,"$25,000","$100,000"
3940.07,"$2,000","$5,000"
14704.27,"$5,000","$25,000"
215639.48,"$100,000","$250,000"
5456.06,"$5,000","$25,000"
423696.32,"$250,000","$500,000"
11903.83,"$5,000","$25,000"
44085.97,"$25,000","$100,000"
48622.12,"$25,000","$100,000"
19869.57,"$5,000","$25,000"
211216.01,"$100,000","$250,000"
94624.03,"$25,000","$100,000"
344858.21,"$250,000","$500,000"
45924.8,"$25,000","$100,000"
76354.08,"$25,000","$100,000"
47114.92,"$25,000","$100,000"
905809.14,"$500,000","$1,000,000"
103569.22,"$100,000","$250,000"
136180.93,"$100,000","$250,000"
16082.81,"$5,000","$25,000"
75605.3,"$25,000","$100,000"
693.59,$1,"$1,000"
62617.43,"$25,000","$100,000"
122493.84,"$100,000","$250,000"
624949.58,"$500,000","$1,000,000"
57770.62,"$25,000","$100,000"
66708.18,"$25,000","$100,000"
6354.76,"$5,000","$25,000"
59612.43,"$25,000","$100,000"
30687.59,"$25,000","$100,000"
13226.34,"$5,000","$25,000"
79927.54,"$25,000","$100,000"
51530.61,"$25,000","$100,000"
220657.29,"$100,000","$250,000"
1441.66,"$1,000","$2,000"
2741572.72,"$1,000,000","$9,999,999"
7320.11,"$5,000","$25,000"
41694.6,"$25,000","$100,000"
54559.93,"$25,000","$100,000"
6821.87,"$5,000","$25,000"
79982.73,"$25,000","$100,000"
13335.21,"$5,000","$25,000"
1165.37,"$1,000","$2,000"
46120.04,"$25,000","$100,000"
124748.51,"$100,000","$250,000"
265369.04,"$250,000","$500,000"
4175.95,"$2,000","$5,000"
7365.2,"$5,000","$25,000"
67250.16,"$25,000","$100,000"
11510.82,"$5,000","$25,000"
47130.65,"$25,000","$100,000"
57604.56,"$25,000","$100,000"
56668.7,"$25,000","$100,000"
118911.6,"$100,000","$250,000"
2836687.47,"$1,000,000","$9,999,999"
852.25,$1,"$1,000"
137569.93,"$100,000","$250,000"
219793.18,"$100,000","$250,000"
1518.26,"$1,000","$2,000"
4913.97,"$2,000","$5,000"
27008.2,"$25,000","$100,000"
121840.55,"$100,000","$250,000"
136856.63,"$100,000","$250,000"
51147.69,"$25,000","$100,000"
24981.38,"$5,000","$25,000"
87.24,$1,"$1,000"
149600.79,"$100,000","$250,000"
8333.42,"$5,000","$25,000"
613.05,$1,"$1,000"
49009.45,"$25,000","$100,000"
86281.57,"$25,000","$100,000"
2935.88,"$2,000","$5,000"
11212.22,"$5,000","$25,000"
89129.46,"$25,000","$100,000"
2778.68,"$2,000","$5,000"
20802.57,"$5,000","$25,000"
19484.64,"$5,000","$25,000"
30058.18,"$25,000","$100,000"
3117.93,"$2,000","$5,000"
85933.45,"$25,000","$100,000"
693325.78,"$500,000","$1,000,000"
14678.32,"$5,000","$25,000"
10612.57,"$5,000","$25,000"
822.02,$1,"$1,000"
303424.99,"$250,000","$500,000"
11080.09,"$5,000","$25,000"
2044.88,"$2,000","$5,000"
46648.09,"$25,000","$100,000"
2011.46,"$2,000","$5,000"
4752.15,"$2,000","$5,000"
16275.1,"$5,000","$25,000"
49196.37,"$25,000","$100,000"
2148.76,"$2,000","$5,000"
1910.51,"$1,000","$2,000"
1147.89,"$1,000","$2,000"
8011.98,"$5,000","$25,000"
56153.57,"$25,000","$100,000"
9524.47,"$5,000","$25,000"
5945.82,"$5,000","$25,000"
21724.79,"$5,000","$25,000"
33445.91,"$25,000","$100,000"
3253.84,"$2,000","$5,000"
5592.29,"$5,000","$25,000"
2893.43,"$2,000","$5,000"
21398.78,"$5,000","$25,000"
19328.61,"$5,000","$25,000"
153565.94,"$100,000","$250,000"
9886.02,"$5,000","$25,000"
34287.2,"$25,000","$100,000"
495.36,$1,"$1,000"
7613.42,"$5,000","$25,000"
31336.18,"$25,000","$100,000"
191.77,$1,"$1,000"
41601.83,"$25,000","$100,000"
297815.32,"$250,000","$500,000"
15567.11,"$5,000","$25,000"
7313.91,"$5,000","$25,000"
617.53,$1,"$1,000"
50535.04,"$25,000","$100,000"
570.62,$1,"$1,000"
6267.03,"$5,000","$25,000"
23610.99,"$5,000","$25,000"
16503.81,"$5,000","$25,000"
21572.15,"$5,000","$25,000"
29.8,$1,"$1,000"
8551.79,"$5,000","$25,000"
2709.43,"$2,000","$5,000"
47168.8,"$25,000","$100,000"
20343.65,"$5,000","$25,000"
8358.04,"$5,000","$25,000"
209.54,$1,"$1,000"
16833.44,"$5,000","$25,000"
32827.77,"$25,000","$100,000"
27647.64,"$25,000","$100,000"
7802.95,"$5,000","$25,000"
7828.9,"$5,000","$25,000"
1066.72,"$1,000","$2,000"
16734.64,"$5,000","$25,000"
62741.93,"$25,000","$100,000"
14318.5,"$5,000","$25,000"
6269.24,"$5,000","$25,000"
17682.02,"$5,000","$25,000"
5968.36,"$5,000","$25,000"
18468.02,"$5,000","$25,000"
3414.14,"$2,000","$5,000"
3010.04,"$2,000","$5,000"
7130.75,"$5,000","$25,000"
-199.82,"($99,000)",$1
8952.8,"$5,000","$25,000"
4504.79,"$2,000","$5,000"
14046.82,"$5,000","$25,000"
8889.37,"$5,000","$25,000"
11769.59,"$5,000","$25,000"
264403.96,"$250,000","$500,000"
250.78,$1,"$1,000"
2654.97,"$2,000","$5,000"
3786.84,"$2,000","$5,000"
391206.67,"$250,000","$500,000"
28909.17,"$25,000","$100,000"
27601.92,"$25,000","$100,000"
36120.64,"$25,000","$100,000"
19552.93,"$5,000","$25,000"
41034.82,"$25,000","$100,000"
6750.25,"$5,000","$25,000"
15777.76,"$5,000","$25,000"
5334.02,"$5,000","$25,000"
37518.94,"$25,000","$100,000"
14344.52,"$5,000","$25,000"
1563.7,"$1,000","$2,000"
4817.57,"$2,000","$5,000"
349.06,$1,"$1,000"
6168.49,"$5,000","$25,000"
9241.07,"$5,000","$25,000"
3917.93,"$2,000","$5,000"
35554.91,"$25,000","$100,000"
4663.59,"$2,000","$5,000"
8185.17,"$5,000","$25,000"
1351.89,"$1,000","$2,000"
41083,"$25,000","$100,000"
59427.81,"$25,000","$100,000"
193218.66,"$100,000","$250,000"
15351.1,"$5,000","$25,000"
5057.21,"$5,000","$25,000"
485.39,$1,"$1,000"
103265.42,"$100,000","$250,000"
13757.62,"$5,000","$25,000"
2344.37,"$2,000","$5,000"
1523.29,"$1,000","$2,000"
17528.19,"$5,000","$25,000"
1687.2,"$1,000","$2,000"
5620.33,"$5,000","$25,000"
927.36,$1,"$1,000"
6514.51,"$5,000","$25,000"
70296.6,"$25,000","$100,000"
984.71,$1,"$1,000"
465.24,$1,"$1,000"
560.2,$1,"$1,000"
1992.03,"$1,000","$2,000"
58.71,$1,"$1,000"
434.26,$1,"$1,000"
369.75,$1,"$1,000"
4613.67,"$2,000","$5,000"
16585.02,"$5,000","$25,000"
15091.08,"$5,000","$25,000"
88878.68,"$25,000","$100,000"
96718.11,"$25,000","$100,000"
28202.14,"$25,000","$100,000"
51528.68,"$25,000","$100,000"
228468.12,"$100,000","$250,000"
692.01,$1,"$1,000"
5086.31,"$5,000","$25,000"
3050.3,"$2,000","$5,000"
25849.75,"$25,000","$100,000"
1599.13,"$1,000","$2,000"
59279.53,"$25,000","$100,000"
862602.57,"$500,000","$1,000,000"
3807.91,"$2,000","$5,000"
52886.69,"$25,000","$100,000"
954.97,$1,"$1,000"
405.59,$1,"$1,000"
17651.44,"$5,000","$25,000"
20167.5,"$5,000","$25,000"
2805.12,"$2,000","$5,000"
7534.87,"$5,000","$25,000"
483181.54,"$250,000","$500,000"
352.37,$1,"$1,000"
10444.07,"$5,000","$25,000"
939.91,$1,"$1,000"
3132.29,"$2,000","$5,000"
152577.87,"$100,000","$250,000"
164.78,$1,"$1,000"
4698.15,"$2,000","$5,000"
572.53,$1,"$1,000"
572,$1,"$1,000"
1515.58,"$1,000","$2,000"
688.38,$1,"$1,000"
8963.36,"$5,000","$25,000"
12271.93,"$5,000","$25,000"
5483.17,"$5,000","$25,000"
9.29,$1,"$1,000"
7979.25,"$5,000","$25,000"
208.46,$1,"$1,000"
1197,"$1,000","$2,000"
416.62,$1,"$1,000"
347.44,$1,"$1,000"
799.12,$1,"$1,000"
1414.61,"$1,000","$2,000"
26580.37,"$25,000","$100,000"
461.52,$1,"$1,000"
5286.02,"$5,000","$25,000"
4424.31,"$2,000","$5,000"
763.01,$1,"$1,000"
21981.02,"$5,000","$25,000"
448.12,$1,"$1,000"
736.81,$1,"$1,000"
-3104.65,"($99,000)",$1
4154.93,"$2,000","$5,000"
362.62,$1,"$1,000"
1499.12,"$1,000","$2,000"
8627,"$5,000","$25,000"
583.94,$1,"$1,000"
838.64,$1,"$1,000"
422.86,$1,"$1,000"
380.01,$1,"$1,000"
2588.24,"$2,000","$5,000"
6439.38,"$5,000","$25,000"
369.72,$1,"$1,000"
2727.94,"$2,000","$5,000"
216.14,$1,"$1,000"
245.76,$1,"$1,000"
3090.13,"$2,000","$5,000"
79.56,$1,"$1,000"
957619.2,"$500,000","$1,000,000"
10312.95,"$5,000","$25,000"
319.69,$1,"$1,000"
12739.03,"$5,000","$25,000"
8527.7,"$5,000","$25,000"
46785.39,"$25,000","$100,000"
8383.88,"$5,000","$25,000"
2856.14,"$2,000","$5,000"
20335.22,"$5,000","$25,000"
1557.86,"$1,000","$2,000"
33113.83,"$25,000","$100,000"
787.12,$1,"$1,000"
28479.38,"$25,000","$100,000"
708.22,$1,"$1,000"
2013.78,"$2,000","$5,000"
3293.78,"$2,000","$5,000"
260.61,$1,"$1,000"
161.72,$1,"$1,000"
44.02,$1,"$1,000"
61338.52,"$25,000","$100,000"
14009.28,"$5,000","$25,000"
407.08,$1,"$1,000"
25.45,$1,"$1,000"
10140.96,"$5,000","$25,000"
697.86,$1,"$1,000"
4157.71,"$2,000","$5,000"
322.64,$1,"$1,000"
1948.87,"$1,000","$2,000"
281.09,$1,"$1,000"
8803.35,"$5,000","$25,000"
772.86,$1,"$1,000"
54000,"$25,000","$100,000"
47308.81,"$25,000","$100,000"
182814.49,"$100,000","$250,000"
480164.73,"$250,000","$500,000"
2550.45,"$2,000","$5,000"
44133.6,"$25,000","$100,000"
139609.22,"$100,000","$250,000"
2132621.91,"$1,000,000","$9,999,999"
105795.83,"$100,000","$250,000"
51812.04,"$25,000","$100,000"
23487.7,"$5,000","$25,000"
252408.44,"$250,000","$500,000"
19464.64,"$5,000","$25,000"
151407,"$100,000","$250,000"
8447.37,"$5,000","$25,000"
405294.33,"$250,000","$500,000"
100727.57,"$100,000","$250,000"
21127.54,"$5,000","$25,000"
24849.15,"$5,000","$25,000"
496858.88,"$250,000","$500,000"
29470.52,"$25,000","$100,000"
16293.33,"$5,000","$25,000"
8339.07,"$5,000","$25,000"
212627.87,"$100,000","$250,000"
81933.56,"$25,000","$100,000"
343775.13,"$250,000","$500,000"
2070682.64,"$1,000,000","$9,999,999"
93949.15,"$25,000","$100,000"
343.87,$1,"$1,000"
8725.22,"$5,000","$25,000"
6867.17,"$5,000","$25,000"
22832.46,"$5,000","$25,000"
27434.32,"$25,000","$100,000"
12578.27,"$5,000","$25,000"
402341.23,"$250,000","$500,000"
612.99,$1,"$1,000"
2769.71,"$2,000","$5,000"
4502.97,"$2,000","$5,000"
45470.63,"$25,000","$100,000"
2894.45,"$2,000","$5,000"
28361.08,"$25,000","$100,000"
9789.34,"$5,000","$25,000"
23758.09,"$5,000","$25,000"
55155.36,"$25,000","$100,000"
6146.57,"$5,000","$25,000"
2911.45,"$2,000","$5,000"
285.68,$1,"$1,000"
109906.69,"$100,000","$250,000"
20777.94,"$5,000","$25,000"
108164.3,"$100,000","$250,000"
8036.78,"$5,000","$25,000"
818411.21,"$500,000","$1,000,000"
185499.28,"$100,000","$250,000"
42027.84,"$25,000","$100,000"
16659.24,"$5,000","$25,000"
6533.76,"$5,000","$25,000"
186119.98,"$100,000","$250,000"
357261.16,"$250,000","$500,000"
25123.99,"$25,000","$100,000"
236297.35,"$100,000","$250,000"
9375.6,"$5,000","$25,000"
8056.52,"$5,000","$25,000"
619962.12,"$500,000","$1,000,000"
52220.78,"$25,000","$100,000"
8625.93,"$5,000","$25,000"
5052.01,"$5,000","$25,000"
275317.26,"$250,000","$500,000"
1727.88,"$1,000","$2,000"
12295.61,"$5,000","$25,000"
229902.13,"$100,000","$250,000"
5390.14,"$5,000","$25,000"
11039,"$5,000","$25,000"
13474.9,"$5,000","$25,000"
71564.84,"$25,000","$100,000"
1540.21,"$1,000","$2,000"
12401.11,"$5,000","$25,000"
36700.75,"$25,000","$100,000"
26689.15,"$25,000","$100,000"
24236.92,"$5,000","$25,000"
10269.69,"$5,000","$25,000"
39387.42,"$25,000","$100,000"
12352.09,"$5,000","$25,000"
27421.2,"$25,000","$100,000"
23786.34,"$5,000","$25,000"
201406.5,"$100,000","$250,000"
6303.53,"$5,000","$25,000"
146263.82,"$100,000","$250,000"
164122.33,"$100,000","$250,000"
179380.79,"$100,000","$250,000"
66658.43,"$25,000","$100,000"
30293.94,"$25,000","$100,000"
15920.69,"$5,000","$25,000"
53050.68,"$25,000","$100,000"
19293.07,"$5,000","$25,000"
21917.32,"$5,000","$25,000"
14133.35,"$5,000","$25,000"
16783.28,"$5,000","$25,000"
1085.43,"$1,000","$2,000"
692.44,$1,"$1,000"
11791.56,"$5,000","$25,000"
34440.26,"$25,000","$100,000"
933.6,$1,"$1,000"
57738.36,"$25,000","$100,000"
19344.29,"$5,000","$25,000"
16772.32,"$5,000","$25,000"
1120.27,"$1,000","$2,000"
968.81,$1,"$1,000"
1318.61,"$1,000","$2,000"
15760.92,"$5,000","$25,000"
19968.83,"$5,000","$25,000"
9586.38,"$5,000","$25,000"
6292.55,"$5,000","$25,000"
5977.12,"$5,000","$25,000"
8473.66,"$5,000","$25,000"
1467.52,"$1,000","$2,000"
53057.78,"$25,000","$100,000"
1992883.2,"$1,000,000","$9,999,999"
2374.84,"$2,000","$5,000"
45359.86,"$25,000","$100,000"
8151.03,"$5,000","$25,000"
21400.26,"$5,000","$25,000"
2979.92,"$2,000","$5,000"
18895.32,"$5,000","$25,000"
3715.99,"$2,000","$5,000"
201322.68,"$100,000","$250,000"
116377.06,"$100,000","$250,000"
21212.4,"$5,000","$25,000"
11244.53,"$5,000","$25,000"
4004.11,"$2,000","$5,000"
14701.63,"$5,000","$25,000"
39875.75,"$25,000","$100,000"
35062.59,"$25,000","$100,000"
4373.09,"$2,000","$5,000"
17597.91,"$5,000","$25,000"
26479.94,"$25,000","$100,000"
1759.6,"$1,000","$2,000"
5060.93,"$5,000","$25,000"
3608.1,"$2,000","$5,000"
